救亡漫画宣传队 jiu'wang'man'hua'xuan'chuan'dui
学园都市风纪委员第 xue'yuan'du'shi'feng'ji'wei'yuan'di
天朝酱 tian'zhao'jiang
望君珍重 wang'jun'zhen'zhong
地球队长 di'qiu'dui'chang
嗜血狂魔史德莉古尔 shi'xie'kuang'mo'shi'de'li'gu'er
大型集装箱起重机 da'xing'ji'zhuang'xiang'qi'zhong'ji
对流血一周仍然不死的动物千万不能大意 dui'liu'xie'yi'zhou'reng'ran'bu'si'de'dong'wu'qian'wan'bu'neng'da'yi
铠传 kai'chuan
黑角龙 hei'jiao'long
武藏野日向 wu'cang'ye'ri'xiang
三角锉刀 san'jiao'cuo'dao
仙剑奇侠传六 xian'jian'qi'xia'chuan'liu
折原甘乐 zhe'yuan'gan'le
名木城都 ming'mu'cheng'du
朝仓理香子 zhao'cang'li'xiang'zi
幻乐团的历史 huan'le'tuan'de'li'shi
人类都是大变态 ren'lei'du'shi'da'bian'tai
重庆 zhong'qing
昆西号重巡洋舰娘 kun'xi'hao'zhong'xun'yang'jian'niang
大愿地藏王菩萨 da'yuan'di'cang'wang'pu'sa
独角兽 du'jiao'shou
都是时臣的错 du'shi'shi'chen'de'cuo
超级女主角战记 chao'ji'nv'zhu'jiao'zhan'ji
藤堂重音 teng'tang'zhong'yin
都明白我意 du'ming'bai'wo'yi
京都动画 jing'du'dong'hua
粉红的切开来都是黑的 fen'hong'de'qie'kai'lai'du'shi'hei'de
仙剑奇侠传 xian'jian'qi'xia'chuan
噬血狂袭 shi'xie'kuang'xi
废都 fei'du
独角姬 du'jiao'ji
古都 gu'du
妖都 yao'du
血腥玛丽 xie'xing'ma'li
黑猫警长娘 hei'mao'jing'chang'niang
生徒会会长 sheng'tu'hui'hui'chang
中国网络防火长城 zhong'guo'wang'luo'fang'huo'chang'cheng
放课后猥亵俱乐部 fang'ke'hou'wei'xie'ju'le'bu
连我爸爸都没有打过我 lian'wo'ba'ba'du'mei'you'da'guo'wo
婕刚队长姬 jie'gang'dui'chang'ji
魔神英雄传 mo'shen'ying'xiong'chuan
武藏野动画 wu'cang'ye'dong'hua
八重齿 ba'zhong'chi
兄长情况有异 xiong'chang'qing'kuang'you'yi
超重件履带起重机 chao'zhong'jian'lv'dai'qi'zhong'ji
英雄传说 ying'xiong'chuan'shuo
粉红切开都是黑 fen'hong'qie'kai'du'shi'hei
愉悦传播者 yu'yue'chuan'bo'zhe
重音 zhong'yin
问题儿童都来自异世界 wen'ti'er'tong'du'lai'zi'yi'shi'jie
武藏娘 wu'cang'niang
中文传说曲 zhong'wen'chuan'shuo'qu
吸血鬼与十字架 xi'xie'gui'yu'shi'zi'jia
天闻角川看板娘 tian'wen'jiao'chuan'kan'ban'niang
八重㭴莉奈 ba'zhong'jian'li'nai
西藏娘 xi'cang'niang
长音厨肺活量测试 chang'yin'chu'fei'huo'liang'ce'shi
我和我的小伙伴们都惊呆了 wo'he'wo'de'xiao'huo'ban'men'du'jing'dai'le
主角胜于嘴炮 zhu'jiao'sheng'yu'zui'pao
一个能打的都没有 yi'ge'neng'da'de'du'mei'you
奥古斯都 ao'gu'si'du
形梨乐芙蜜 xing'li'le'fu'mi
似乎有着能够变得更加幸福的隐藏指令 si'hu'you'zhe'neng'gou'bian'de'geng'jia'xing'fu'de'yin'cang'zhi'ling
叉式抓斗起重机 cha'shi'zhua'dou'qi'zhong'ji
重福省帆 zhong'fu'sheng'fan
龙嬢七七七的埋藏金 long'niang'qi'qi'qi'de'mai'cang'jin
长宗我部元亲 chang'zong'wo'bu'yuan'qin
魔神传 mo'shen'chuan
朝雾史织 zhao'wu'shi'zhi
东兔角 dong'tu'jiao
桃乐丝 tao'le'si
触角 chu'jiao
朝日奈绘麻 zhao'ri'nai'hui'ma
血红满月之夜 xie'hong'man'yue'zhi'ye
似乎有着能够变得幸福的隐藏指令 si'hu'you'zhe'neng'gou'bian'de'xing'fu'de'yin'cang'zhi'ling
五三班拜见班长大人 wu'san'ban'bai'jian'ban'chang'da'ren
夜樱四重奏 ye'ying'si'zhong'zou
防火长城 fang'huo'chang'cheng
角色扮演类游戏 jiao'se'ban'yan'lei'you'xi
学园偶像祭主要角色 xue'yuan'ou'xiang'ji'zhu'yao'jiao'se
超时空传送仪 chao'shi'kong'chuan'song'yi
面对流血一周还不会死的生物绝对不能大意 mian'dui'liu'xie'yi'zhou'huan'bu'hui'si'de'sheng'wu'jue'dui'bu'neng'da'yi
朝仓凉子 zhao'cang'liang'zi
天朝铁道少女 tian'zhao'tie'dao'shao'nv
每天回家都会看到阿卡林在消失 mei'tian'hui'jia'du'hui'kan'dao'a'ka'lin'zai'xiao'shi
乐正龙牙 le'zheng'long'ya
传说曲 chuan'shuo'qu
仙剑奇侠传一 xian'jian'qi'xia'chuan'yi
新年快乐 xin'nian'kuai'le
圣骑士团长圣刻之御者帕梅拉思 sheng'qi'shi'tuan'chang'sheng'ke'zhi'yu'zhe'pa'mei'la'si
伪都 wei'du
血精灵 xie'jing'ling
百事可乐 bai'shi'ke'le
都能搞定 du'neng'gao'ding
全部都是第一 quan'bu'du'shi'di'yi
武藏 wu'cang
零系可口可乐娘 ling'xi'ke'kou'ke'le'niang
二重魅惑之瞳莉特 er'zhong'mei'huo'zhi'tong'li'te
神乐坂惠理香 shen'le'ban'hui'li'xiang
人家一点都不喜欢啦 ren'jia'yi'dian'du'bu'xi'huan'la
学生会会长 xue'sheng'hui'hui'chang
中华萌国传 zhong'hua'meng'guo'chuan
港都 gang'du
台湾角川娘 tai'wan'jiao'chuan'niang
履带起重机 lv'dai'qi'zhong'ji
无名女主角 wu'ming'nv'zhu'jiao
爱之吸血鬼 ai'zhi'xi'xie'gui
学院偶像祭主要角色 xue'yuan'ou'xiang'ji'zhu'yao'jiao'se
隐藏巨乳 yin'cang'ju'ru
吸血鬼同盟 xi'xie'gui'tong'meng
